source,target,msg
#g4g_revenant,joelvalladolid,la isla andorrana renta mas q la petro xdd
#g4g_revenant,elchukyv2,haced /who por si hay alguien andorrano
#srserpiente,javierrodriguezdiaz,AL FINAL el team andorrano no se va hacer una casa en la isla porque no hay loot
#duendepablo,tincholor,te vas a andorra?
#staryuuki,yungkronoz,Que te vas a mandar a Andorra?
#baptistao,chooseyjoker14,como se nota q ya vives en andorra... gastarse en lentillas 500 euros
#staryuuki,yungkronoz,Que te vas a mudar a andorra?
#alexby11,adrianmartinezargibay,Huy en Andorra las discusiones XDXD
#g4g_revenant,alesan93,la hipoteca de andorra? LUL
#alexby11,agenteyowel,Literalmente, discusiones de Andorra alexbyJaja alexbyJaja alexbyJaja
#alexby11,willow_tm,Cancelamos Andorra chat, repito, SE CANCELA ANDORRA xdxd
#alexby11,jm20021,Aro vetada de la casa andorrana alexbyAy
#srserpiente,dimoniet_,siempre podeis secuestrar a un andorrano y pedir rescate.. Kappa
#wallstreetwolverine,rocofr4,en andorra hay trabajo de ingeniero? @WallStreetWolverine
#wallstreetwolverine,godjunglemain,ahora que reven va a combatir con elmillor y elm esta buscando entrenador en andorra podrias ponerlo en vereda
#nissaxter,malkuan,porque abandonaste Perú y te fuiste a Andorra Nissa?
#alexby11,aleeporotos,bueno, adios andorra, otro año en madrid.
#nissaxter,manuso46xd,Ta vas a ir a vivir a andorra?
#nissaxter,edgarqs200602,te irás a Andorra?
#alexby11,annzully,No van a durar en Andorra xdd
#nissaxter,joryago,te irás a andorra o te quedas en perú?
#nissaxter,malkuan,porque dejaste Perú para irte a Andorra?
#alexby11,zulkyry,Primera pelea en Andorra:
#alexby11,alanahvp,ya los veo en andorra jajaja xdd
#alexby11,caritocat20,no van a durar en andorra
#alexby11,samagelvis,la primera comida en andorra be like:
#mangel,alpuli02,give me your Andorra
#alexby11,caritocat20,adiós andorra alexbyStonksdown
#alexby11,sergiorenc,va a ser maravilloso verlos convivir en andorra
#silithur,paunr5,andorrano
#aroyitt,crisvk99,Necesito ver un video vuestro cocinando en andorra plisss
#srserpiente,kelegemplay,kill al andorrano!!
#silithur,aurlad,rich y farfa estan a punto de dejar las malvinas porque estan peleando 4 vs 2 con andorra
#aroyitt,el_asdepicas,como van a comer en andorra jajajaja
#aroyitt,carlosvillan,@aroyitt entonces en andorra no se cocinara tortillas con patstas
#aroyitt,diezaino,El primer video de cocina de Andorra que sea Tortilla
#wallstreetwolverine,martinvilsonov,viva andorra
